FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9,Rank,Unique_flat_No
20,C-2002,3BHK,2,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2002"
20,C-2002,3BHK,2,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2002"
20,C-2004,3BHK,2,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2004"
20,C-2004,3BHK,2,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2004"
20,C-2005,3BHK,2,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2005"
20,C-2005,3BHK,2,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2005"
20,C-2006,3BHK,2,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2006"
20,C-2006,3BHK,2,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2006"
20,C-2007,3BHK,2,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2007"
20,C-2007,3BHK,2,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2007"
20,C-2001,4BHK,3,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2001"
20,C-2001,4BHK,3,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2001"
20,C-2001,4BHK,3,38,36,34,32,30,28,26,24,22,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2001"
20,C-2003,4BHK,3,38,36,34,32,30,28,26,24,22,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2003"
20,C-2003,4BHK,3,38,36,34,32,30,28,26,24,22,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2003"
20,C-2003,4BHK,3,38,36,34,32,30,28,26,24,22,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2003"
21,C-2104,3BHK,2,40,38,36,34,32,30,28,26,24,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2104"
21,C-2104,3BHK,2,40,38,36,34,32,30,28,26,24,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2104"
21,C-2105,3BHK,2,40,38,36,34,32,30,28,26,24,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2105"
21,C-2105,3BHK,2,40,38,36,34,32,30,28,26,24,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2105"
21,C-2106,3BHK,2,40,38,36,34,32,30,28,26,24,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2106"
21,C-2106,3BHK,2,40,38,36,34,32,30,28,26,24,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-2106"
