FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9
44,C-4407,3BHK,2,86,84,82,80,78,76,74,72,70
44,C-4401,4BHK,3,86,84,82,80,78,76,74,72,70
44,C-4403,4BHK,3,86,84,82,80,78,76,74,72,70
45,C-4502,3BHK,2,88,86,84,82,80,78,76,74,72
45,C-4504,3BHK,2,88,86,84,82,80,78,76,74,72
45,C-4505,3BHK,2,88,86,84,82,80,78,76,74,72
45,C-4506,3BHK,2,88,86,84,82,80,78,76,74,72
45,C-4507,3BHK,2,88,86,84,82,80,78,76,74,72
45,C-4501,4BHK,3,88,86,84,82,80,78,76,74,72
45,C-4503,4BHK,3,88,86,84,82,80,78,76,74,72
46,C-4602,3BHK,2,90,88,86,84,82,80,78,76,74
46,C-4604,3BHK,2,90,88,86,84,82,80,78,76,74
46,C-4605,3BHK,2,90,88,86,84,82,80,78,76,74
46,C-4606,3BHK,2,90,88,86,84,82,80,78,76,74
46,C-4607,3BHK,2,90,88,86,84,82,80,78,76,74
46,C-4601,4BHK,3,90,88,86,84,82,80,78,76,74
46,C-4603,4BHK,3,90,88,86,84,82,80,78,76,74
47,C-4702,3BHK,2,92,90,88,86,84,82,80,78,76
47,C-4704,3BHK,2,92,90,88,86,84,82,80,78,76
47,C-4705,3BHK,2,92,90,88,86,84,82,80,78,76
47,C-4706,3BHK,2,92,90,88,86,84,82,80,78,76
47,C-4707,3BHK,2,92,90,88,86,84,82,80,78,76
47,C-4701,4BHK,3,92,90,88,86,84,82,80,78,76
47,C-4703,4BHK,3,92,90,88,86,84,82,80,78,76
48,C-4802,3BHK,2,94,92,90,88,86,84,82,80,78
48,C-4804,3BHK,2,94,92,90,88,86,84,82,80,78
48,C-4805,3BHK,2,94,92,90,88,86,84,82,80,78
48,C-4806,3BHK,2,94,92,90,88,86,84,82,80,78
48,C-4807,3BHK,2,94,92,90,88,86,84,82,80,78
48,C-4801,4BHK,3,94,92,90,88,86,84,82,80,78
48,C-4803,4BHK,3,94,92,90,88,86,84,82,80,78
49,C-4904,3BHK,2,96,94,92,90,88,86,84,82,80
49,C-4905,3BHK,2,96,94,92,90,88,86,84,82,80
49,C-4906,3BHK,2,96,94,92,90,88,86,84,82,80
49,C-4907,3BHK,2,96,94,92,90,88,86,84,82,80
49,C-4903,4BHK,3,96,94,92,90,88,86,84,82,80
50,C-5002,3BHK,2,98,96,94,92,90,88,86,84,82
50,C-5004,3BHK,2,98,96,94,92,90,88,86,84,82
50,C-5005,3BHK,2,98,96,94,92,90,88,86,84,82
50,C-5006,3BHK,2,98,96,94,92,90,88,86,84,82
50,C-5007,3BHK,2,98,96,94,92,90,88,86,84,82
50,C-5001,4BHK,3,98,96,94,92,90,88,86,84,82
50,C-5003,4BHK,3,98,96,94,92,90,88,86,84,82
51,C-5102,3BHK,2,100,98,96,94,92,90,88,86,84
51,C-5104,3BHK,2,100,98,96,94,92,90,88,86,84
51,C-5105,3BHK,2,100,98,96,94,92,90,88,86,84
51,C-5106,3BHK,2,100,98,96,94,92,90,88,86,84
51,C-5107,3BHK,2,100,98,96,94,92,90,88,86,84
51,C-5101,4BHK,3,100,98,96,94,92,90,88,86,84
51,C-5103,4BHK,3,100,98,96,94,92,90,88,86,84
52,C-5202,3BHK,2,102,100,98,96,94,92,90,88,86
52,C-5204,3BHK,2,102,100,98,96,94,92,90,88,86
52,C-5205,3BHK,2,102,100,98,96,94,92,90,88,86
52,C-5206,3BHK,2,102,100,98,96,94,92,90,88,86
52,C-5207,3BHK,2,102,100,98,96,94,92,90,88,86
52,C-5201,4BHK,3,102,100,98,96,94,92,90,88,86
52,C-5203,4BHK,3,102,100,98,96,94,92,90,88,86
53,C-5302,3BHK,2,104,102,100,98,96,94,92,90,88
53,C-5304,3BHK,2,104,102,100,98,96,94,92,90,88
53,C-5305,3BHK,2,104,102,100,98,96,94,92,90,88
53,C-5306,3BHK,2,104,102,100,98,96,94,92,90,88
53,C-5307,3BHK,2,104,102,100,98,96,94,92,90,88
53,C-5301,4BHK,3,104,102,100,98,96,94,92,90,88
53,C-5303,4BHK,3,104,102,100,98,96,94,92,90,88
54,C-5402,3BHK,2,106,104,102,100,98,96,94,92,90
54,C-5404,3BHK,2,106,104,102,100,98,96,94,92,90
54,C-5405,3BHK,2,106,104,102,100,98,96,94,92,90
54,C-5406,3BHK,2,106,104,102,100,98,96,94,92,90
54,C-5407,3BHK,2,106,104,102,100,98,96,94,92,90
54,C-5401,4BHK,3,106,104,102,100,98,96,94,92,90
54,C-5403,4BHK,3,106,104,102,100,98,96,94,92,90
55,C-5502,3BHK,2,108,106,104,102,100,98,96,94,92
55,C-5504,3BHK,2,108,106,104,102,100,98,96,94,92
55,C-5505,3BHK,2,108,106,104,102,100,98,96,94,92
55,C-5506,3BHK,2,108,106,104,102,100,98,96,94,92
55,C-5507,3BHK,2,108,106,104,102,100,98,96,94,92
55,C-5501,4BHK,3,108,106,104,102,100,98,96,94,92
55,C-5503,4BHK,3,108,106,104,102,100,98,96,94,92
56,C-5604,3BHK,2,110,108,106,104,102,100,98,96,94
56,C-5605,3BHK,2,110,108,106,104,102,100,98,96,94
56,C-5606,3BHK,2,110,108,106,104,102,100,98,96,94
56,C-5607,3BHK,2,110,108,106,104,102,100,98,96,94
56,C-5603,4BHK,3,110,108,106,104,102,100,98,96,94
57,C-5702,3BHK,2,112,110,108,106,104,102,100,98,96
57,C-5704,3BHK,2,112,110,108,106,104,102,100,98,96
57,C-5705,3BHK,2,112,110,108,106,104,102,100,98,96
57,C-5706,3BHK,2,112,110,108,106,104,102,100,98,96
57,C-5707,3BHK,2,112,110,108,106,104,102,100,98,96
57,C-5701,4BHK,3,112,110,108,106,104,102,100,98,96
57,C-5703,4BHK,3,112,110,108,106,104,102,100,98,96
58,C-5802,3BHK,2,114,112,110,108,106,104,102,100,98
58,C-5804,3BHK,2,114,112,110,108,106,104,102,100,98
58,C-5805,3BHK,2,114,112,110,108,106,104,102,100,98
58,C-5806,3BHK,2,114,112,110,108,106,104,102,100,98
58,C-5807,3BHK,2,114,112,110,108,106,104,102,100,98
58,C-5801,4BHK,3,114,112,110,108,106,104,102,100,98
